'Elapsed time','ECG'
'0:01.060',-3.800
'0:01.070',-4.080
'0:01.080',-4.470
'0:01.090',-4.585
'0:01.100',-4.940
'0:01.110',-5.465
'0:01.120',-5.855
'0:01.130',-6.175
'0:01.140',-6.630
'0:01.150',-6.930
'0:01.160',-7.520
'0:01.170',-7.690
'0:01.180',-7.990
'0:01.190',-8.185
'0:01.200',-8.615
'0:01.210',-8.905
'0:01.220',-9.130
'0:01.230',-9.230
'0:01.240',-9.570
'0:01.250',-9.530
'0:01.260',-9.790
'0:01.270',-9.745
'0:01.280',-9.885
'0:01.290',-9.600
'0:01.300',-9.675
'0:01.310',-9.350
'0:01.320',-9.240
'0:01.330',-8.650
'0:01.340',-8.435
'0:01.350',-7.855
'0:01.360',-7.305
'0:01.370',-6.425
'0:01.380',-5.760
'0:01.390',-4.630
'0:01.400',-3.585
'0:01.410',-2.155
'0:01.420',-1.085
'0:01.430',0.565
'0:01.440',1.945
'0:01.450',3.800
'0:01.460',5.260
'0:01.470',7.325
'0:01.480',9.200
'0:01.490',-8.690
'0:01.500',-6.600
'0:01.510',-3.730
'0:01.520',-1.280
'0:01.530',-9.880
'0:01.540',9.865
'0:01.550',-9.850
'0:01.560',9.830
'0:01.570',-9.810
'0:01.580',9.790
'0:01.590',-9.770
'0:01.600',9.745
'0:01.610',-9.725
'0:01.620',9.700
'0:01.630',-9.675
'0:01.640',9.650
'0:01.650',-9.625
'0:01.660',9.600
'0:01.670',-9.575
'0:01.680',9.550
'0:01.690',-9.525
'0:01.700',9.500
'0:01.710',-9.480
'0:01.720',9.460
'0:01.730',-9.440
'0:01.740',9.420
'0:01.750',-9.405
'0:01.760',9.385
'0:01.770',-9.375
'0:01.780',9.365
'0:01.790',-9.355
'0:01.800',9.350
'0:01.810',-9.350
'0:01.820',9.350
'0:01.830',-9.355
'0:01.840',9.360
'0:01.850',-8.025
'0:01.860',9.385
'0:01.870',1.680
'0:01.880',9.435
'0:01.890',-9.445
'0:01.900',-2.470
'0:01.910',-9.505
'0:01.920',4.620
'0:01.930',-9.575
'0:01.940',9.615
'0:01.950',-9.655
'0:01.960',9.700
'0:01.970',-9.750
'0:01.980',9.800
'0:01.990',-9.845
'0:02.000',9.900
'0:02.010',-9.950
'0:02.020',10.005
'0:02.030',-10.060
'0:02.040',10.115
'0:02.050',-10.170
'0:02.060',10.225
'0:02.070',10.200
'0:02.080',-10.145
'0:02.090',10.095
'0:02.100',-10.050
'0:02.110',10.000
'0:02.120',-9.955
'0:02.130',9.915
'0:02.140',-9.875
'0:02.150',9.835
'0:02.160',-9.800
'0:02.170',9.770
'0:02.180',-9.740
'0:02.190',9.715
'0:02.200',-9.695
'0:02.210',9.675
'0:02.220',-9.660
'0:02.230',9.645
'0:02.240',-9.640
'0:02.250',9.630
'0:02.260',-9.630
'0:02.270',9.630
'0:02.280',-9.630
'0:02.290',9.635
'0:02.300',-9.645
'0:02.310',9.655
'0:02.320',-9.670
'0:02.330',9.680
'0:02.340',-9.700
'0:02.350',9.715
'0:02.360',-9.735
'0:02.370',9.750
'0:02.380',-9.770
'0:02.390',9.790
'0:02.400',-9.810
'0:02.410',9.830
'0:02.420',-9.855
'0:02.430',9.875
'0:02.440',-9.895
'0:02.450',9.910
'0:02.460',-9.930
'0:02.470',9.945
'0:02.480',-9.965
'0:02.490',9.980
'0:02.500',-9.995
'0:02.510',10.005
'0:02.520',-10.020
'0:02.530',10.030
'0:02.540',-10.035
'0:02.550',10.045
'0:02.560',-10.050
'0:02.570',10.055
'0:02.580',-10.060
'0:02.590',10.060
'0:02.600',-10.065
'0:02.610',10.065
'0:02.620',-10.065
'0:02.630',10.065
'0:02.640',-10.060
'0:02.650',-2.030
'0:02.660',-3.585
'0:02.670',-5.710
'0:02.680',-6.950
'0:02.690',-8.805
'0:02.700',-9.755
'0:02.710',9.120
'0:02.720',8.440
'0:02.730',7.070
'0:02.740',6.645
'0:02.750',5.490
'0:02.760',5.305
'0:02.770',4.355
'0:02.780',4.390
'0:02.790',3.640
'0:02.800',3.885
'0:02.810',3.325
'0:02.820',3.765
'0:02.830',3.405
'0:02.840',4.035
'0:02.850',3.870
'0:02.860',4.685
'0:02.870',4.725
'0:02.880',5.725
'0:02.890',5.980
'0:02.900',7.170
'0:02.910',7.665
'0:02.920',9.050
'0:02.930',9.805
'0:02.940',-9.070
'0:02.950',-8.035
'0:02.960',-6.205
'0:02.970',-4.855
'0:02.980',-2.765
'0:02.990',-1.075
'0:03.000',-10.120
'0:03.010',10.130
'0:03.020',-10.140
'0:03.030',10.150
'0:03.040',-10.160
'0:03.050',10.170
'0:03.060',-10.185
'0:03.070',10.195
'0:03.080',-10.210
'0:03.090',10.220
'0:03.100',-10.230
'0:03.110',-10.235
'0:03.120',10.220
'0:03.130',-10.210
'0:03.140',10.195
'0:03.150',-10.185
'0:03.160',10.175
'0:03.170',-10.165
'0:03.180',10.150
'0:03.190',-10.140
'0:03.200',10.130
'0:03.210',-10.120
'0:03.220',10.110
'0:03.230',-10.100
'0:03.240',10.090
'0:03.250',-10.080
'0:03.260',10.070
'0:03.270',-10.065
'0:03.280',10.055
'0:03.290',-10.050
'0:03.300',10.040
'0:03.310',-10.035
'0:03.320',10.030
'0:03.330',-10.025
'0:03.340',10.015
'0:03.350',-10.015
'0:03.360',10.010
'0:03.370',-10.005
'0:03.380',10.005
'0:03.390',-10.005
'0:03.400',10.000
'0:03.410',-10.000
'0:03.420',10.000
'0:03.430',-10.005
'0:03.440',10.005
'0:03.450',-10.005
'0:03.460',10.010
'0:03.470',-10.010
'0:03.480',10.015
'0:03.490',-10.020
'0:03.500',10.025
'0:03.510',-10.030
'0:03.520',10.035
'0:03.530',-10.045
'0:03.540',10.050
'0:03.550',-10.055
'0:03.560',10.065
'0:03.570',-10.070
'0:03.580',10.080
'0:03.590',-10.085
'0:03.600',10.095
'0:03.610',-10.100
'0:03.620',10.110
'0:03.630',-10.115
'0:03.640',10.125
'0:03.650',-10.135
'0:03.660',10.140
'0:03.670',-10.150
'0:03.680',10.155
'0:03.690',-10.160
'0:03.700',10.170
'0:03.710',-10.175
'0:03.720',10.180
'0:03.730',-10.185
'0:03.740',10.195
'0:03.750',-10.195
'0:03.760',10.205
'0:03.770',-10.205
'0:03.780',10.210
'0:03.790',-10.215
'0:03.800',10.220
'0:03.810',-10.220
'0:03.820',10.225
'0:03.830',-10.225
'0:03.840',10.230
'0:03.850',-10.230
'0:03.860',10.230
'0:03.870',-10.235
'0:03.880',10.235
'0:03.890',-10.235
'0:03.900',-10.235
'0:03.910',10.235
'0:03.920',-10.235
'0:03.930',10.235
'0:03.940',-10.230
'0:03.950',10.230
'0:03.960',-10.225
'0:03.970',10.225
'0:03.980',-10.220
'0:03.990',10.220
'0:04.000',-10.215
'0:04.010',10.215
'0:04.020',-10.210
'0:04.030',10.205
'0:04.040',-10.200
'0:04.050',10.195
'0:04.060',-10.190
'0:04.070',10.185
'0:04.080',-10.180
'0:04.090',10.175
'0:04.100',-10.165
'0:04.110',10.160
'0:04.120',-10.150
'0:04.130',10.145
'0:04.140',-10.135
'0:04.150',10.130
'0:04.160',-10.120
'0:04.170',10.115
'0:04.180',-10.105
'0:04.190',10.095
'0:04.200',-10.090
'0:04.210',10.080
'0:04.220',-10.075
'0:04.230',10.065
'0:04.240',-10.060
'0:04.250',10.055
'0:04.260',-10.045
'0:04.270',10.040
'0:04.280',-10.035
'0:04.290',10.030
'0:04.300',-10.025
'0:04.310',10.020
'0:04.320',-10.015
'0:04.330',10.015
'0:04.340',-10.010
'0:04.350',10.010
'0:04.360',-10.010
'0:04.370',10.010
'0:04.380',-10.015
'0:04.390',10.015
'0:04.400',-10.015
'0:04.410',10.020
'0:04.420',-10.025
'0:04.430',10.030
'0:04.440',-10.035
'0:04.450',10.045
'0:04.460',-10.050
'0:04.470',10.060
'0:04.480',-10.070
'0:04.490',10.075
'0:04.500',-10.085
'0:04.510',10.095
'0:04.520',-10.105
'0:04.530',10.120
'0:04.540',-10.130
'0:04.550',10.140
'0:04.560',-10.150
'0:04.570',10.160
'0:04.580',-10.175
'0:04.590',10.185
'0:04.600',-10.195
'0:04.610',10.205
'0:04.620',-10.215
'0:04.630',10.225
'0:04.640',-10.235
'0:04.650',-10.230
'0:04.660',10.220
'0:04.670',-10.215
'0:04.680',10.205
'0:04.690',-10.200
'0:04.700',10.195
'0:04.710',-10.190
'0:04.720',10.185
'0:04.730',-10.185
'0:04.740',10.180
'0:04.750',-10.180
'0:04.760',10.180
'0:04.770',-10.180
'0:04.780',10.180
'0:04.790',-3.465
'0:04.800',10.185
'0:04.810',-10.190
'0:04.820',10.195
'0:04.830',-10.195
'0:04.840',10.200
'0:04.850',-10.205
'0:04.860',10.215
'0:04.870',-10.220
'0:04.880',10.225
'0:04.890',-10.230
'0:04.900',-10.235
'0:04.910',10.230
'0:04.920',-10.220
'0:04.930',10.215
'0:04.940',-10.210
'0:04.950',10.200
'0:04.960',0.885
'0:04.970',2.070
'0:04.980',3.785
'0:04.990',4.715
'0:05.000',6.225
'0:05.010',7.175
'0:05.020',8.585
'0:05.030',9.370
'0:05.040',-9.850
'0:05.050',-9.160
'0:05.060',-8.325
'0:05.070',-7.910
'0:05.080',-7.000
'0:05.090',-5.730
'0:05.100',-2.680
'0:05.110',-2.145
'0:05.120',-2.645
'0:05.130',-2.920
'0:05.140',-3.145
'0:05.150',-3.350
'0:05.160',-2.525
'0:05.170',-2.405
'0:05.180',-1.875
'0:05.190',-1.645
'0:05.200',-1.280
'0:05.210',-1.240
'0:05.220',-0.920
'0:05.230',-0.925
'0:05.240',-0.620
'0:05.250',-0.725
'0:05.260',-0.520
'0:05.270',-0.570
'0:05.280',-0.430
'0:05.290',-0.435
'0:05.300',-0.315
'0:05.310',-0.380
'0:05.320',-0.210
'0:05.330',-0.305
'0:05.340',-0.150
'0:05.350',-0.225
'0:05.360',0.015
'0:05.370',-0.045
'0:05.380',0.080
'0:05.390',-0.015
'0:05.400',0.155
'0:05.410',-0.020
'0:05.420',0.100
'0:05.430',0.000
'0:05.440',0.020
'0:05.450',-0.060
'0:05.460',-0.195
'0:05.470',-0.230
'0:05.480',-0.030
'0:05.490',0.010
'0:05.500',-0.090
'0:05.510',-0.035
'0:05.520',-0.020
'0:05.530',-0.090
'0:05.540',-0.100
'0:05.550',-0.065
'0:05.560',-0.080
'0:05.570',-0.150
'0:05.580',-0.175
'0:05.590',-0.125
'0:05.600',-0.105
'0:05.610',-0.070
'0:05.620',-0.115
'0:05.630',-0.085
'0:05.640',-0.070
'0:05.650',-0.075
'0:05.660',-0.035
'0:05.670',-0.035
'0:05.680',-0.100
'0:05.690',-0.070
'0:05.700',-0.075
'0:05.710',-0.075
'0:05.720',-0.045
'0:05.730',-0.030
'0:05.740',-0.090
'0:05.750',-0.015
'0:05.760',-0.030
'0:05.770',0.035
'0:05.780',0.100
'0:05.790',0.130
'0:05.800',0.285
'0:05.810',0.245
'0:05.820',0.185
'0:05.830',0.105
'0:05.840',0.040
'0:05.850',-0.120
'0:05.860',-0.090
'0:05.870',-0.155
'0:05.880',-0.080
'0:05.890',-0.140
'0:05.900',-0.145
'0:05.910',-0.545
'0:05.920',-0.760
'0:05.930',-0.525
'0:05.940',0.415
'0:05.950',2.535
'0:05.960',2.035
'0:05.970',1.270
'0:05.980',0.675
'0:05.990',-0.010
'0:06.000',-0.105
'0:06.010',-0.155
'0:06.020',-0.155
'0:06.030',-0.165
'0:06.040',-0.170
'0:06.050',-0.100
'0:06.060',-0.180
'0:06.070',-0.150
'0:06.080',-0.145
'0:06.090',-0.200
'0:06.100',-0.155
'0:06.110',-0.165
'0:06.120',-0.115
'0:06.130',-0.180
'0:06.140',-0.160
'0:06.150',-0.225
'0:06.160',-0.190
'0:06.170',-0.160
'0:06.180',-0.155
'0:06.190',-0.115
'0:06.200',-0.125
'0:06.210',-0.110
'0:06.220',-0.025
'0:06.230',0.060
'0:06.240',0.110
'0:06.250',0.135
'0:06.260',0.150
'0:06.270',0.105
'0:06.280',0.140
'0:06.290',0.095
'0:06.300',0.040
'0:06.310',0.090
'0:06.320',-0.010
'0:06.330',-0.030
'0:06.340',-0.005
'0:06.350',-0.010
'0:06.360',-0.030
'0:06.370',-0.045
'0:06.380',-0.055
'0:06.390',-0.080
'0:06.400',-0.025
'0:06.410',-0.120
'0:06.420',-0.170
'0:06.430',-0.110
'0:06.440',-0.145
'0:06.450',-0.130
'0:06.460',-0.075
'0:06.470',-0.080
'0:06.480',-0.130
'0:06.490',-0.075
'0:06.500',-0.020
'0:06.510',-0.105
'0:06.520',-0.125
'0:06.530',-0.055
'0:06.540',-0.080
'0:06.550',-0.105
'0:06.560',-0.075
'0:06.570',-0.075
'0:06.580',-0.070
'0:06.590',-0.050
'0:06.600',-0.080
'0:06.610',-0.015
'0:06.620',-0.010
'0:06.630',0.110
'0:06.640',0.140
'0:06.650',0.265
'0:06.660',0.170
'0:06.670',0.175
'0:06.680',0.175
'0:06.690',-0.050
'0:06.700',-0.115
'0:06.710',-0.030
'0:06.720',-0.035
'0:06.730',-0.130
'0:06.740',-0.160
'0:06.750',-0.150
'0:06.760',-0.435
'0:06.770',-0.780
'0:06.780',-0.730
'0:06.790',-0.010
'0:06.800',2.475
'0:06.810',2.395
'0:06.820',1.410
'0:06.830',0.740
'0:06.840',-0.065
'0:06.850',-0.075
'0:06.860',-0.125
'0:06.870',-0.200
'0:06.880',-0.205
'0:06.890',-0.165
'0:06.900',-0.160
'0:06.910',-0.155
'0:06.920',-0.140
'0:06.930',-0.145
'0:06.940',-0.200
'0:06.950',-0.145
'0:06.960',-0.165
'0:06.970',-0.195
'0:06.980',-0.220
'0:06.990',-0.190
'0:07.000',-0.190
'0:07.010',-0.165
'0:07.020',-0.195
'0:07.030',-0.200
'0:07.040',-0.200
'0:07.050',-0.045
'0:07.060',-0.080
'0:07.070',-0.150
'0:07.080',-0.015
'0:07.090',0.055
'0:07.100',0.055
'0:07.110',0.145
'0:07.120',0.095
'0:07.130',0.085
'0:07.140',0.105
'0:07.150',0.090
'0:07.160',0.065
'0:07.170',-0.015
'0:07.180',0.005
'0:07.190',0.010
'0:07.200',0.000
'0:07.210',0.020
'0:07.220',-0.035
'0:07.230',-0.060
'0:07.240',-0.080
'0:07.250',-0.115
'0:07.260',-0.150
'0:07.270',-0.125
'0:07.280',-0.070
'0:07.290',-0.105
'0:07.300',-0.150
'0:07.310',-0.125
'0:07.320',-0.120
'0:07.330',-0.065
'0:07.340',-0.095
'0:07.350',-0.070
'0:07.360',-0.060
'0:07.370',-0.115
'0:07.380',-0.125
'0:07.390',-0.060
'0:07.400',-0.125
'0:07.410',-0.095
'0:07.420',-0.085
'0:07.430',-0.035
'0:07.440',-0.045
'0:07.450',-0.030
'0:07.460',-0.085
'0:07.470',-0.055
'0:07.480',0.025
'0:07.490',0.100
'0:07.500',0.150
'0:07.510',0.270
'0:07.520',0.225
'0:07.530',0.165
'0:07.540',0.055
'0:07.550',-0.045
'0:07.560',-0.080
'0:07.570',-0.090
'0:07.580',-0.095
'0:07.590',-0.095
'0:07.600',-0.125
'0:07.610',-0.130
'0:07.620',-0.670
'0:07.630',-0.825
'0:07.640',-0.395
'0:07.650',0.670
'0:07.660',2.720
'0:07.670',1.965
'0:07.680',1.330
'0:07.690',0.520
'0:07.700',-0.170
'0:07.710',-0.105
'0:07.720',-0.205
'0:07.730',-0.155
'0:07.740',-0.175
'0:07.750',-0.125
'0:07.760',-0.195
'0:07.770',-0.130
'0:07.780',-0.150
'0:07.790',-0.190
'0:07.800',-0.175
'0:07.810',-0.155
'0:07.820',-0.195
'0:07.830',-0.190
'0:07.840',-0.185
'0:07.850',-0.110
'0:07.860',-0.205
'0:07.870',-0.215
'0:07.880',-0.205
'0:07.890',-0.180
'0:07.900',-0.155
'0:07.910',-0.075
'0:07.920',-0.130
'0:07.930',-0.045
'0:07.940',0.055
'0:07.950',0.050
'0:07.960',0.105
'0:07.970',0.120
'0:07.980',0.080
'0:07.990',0.115
'0:08.000',0.120
'0:08.010',0.060
'0:08.020',0.015
'0:08.030',0.035
'0:08.040',-0.005
'0:08.050',0.000
'0:08.060',0.025
'0:08.070',-0.025
'0:08.080',-0.065
'0:08.090',-0.065
'0:08.100',-0.095
'0:08.110',-0.090
'0:08.120',-0.095
'0:08.130',-0.075
'0:08.140',-0.100
'0:08.150',-0.165
'0:08.160',-0.125
'0:08.170',-0.115
'0:08.180',-0.075
'0:08.190',-0.085
'0:08.200',-0.135
'0:08.210',-0.145
'0:08.220',-0.055
'0:08.230',-0.085
'0:08.240',-0.135
'0:08.250',-0.095
'0:08.260',-0.045
'0:08.270',-0.055
'0:08.280',-0.120
'0:08.290',-0.105
'0:08.300',-0.110
'0:08.310',-0.050
'0:08.320',-0.075
'0:08.330',-0.075
'0:08.340',-0.035
'0:08.350',-0.015
'0:08.360',0.060
'0:08.370',0.120
'0:08.380',0.260
'0:08.390',0.160
'0:08.400',0.155
'0:08.410',0.080
'0:08.420',-0.045
'0:08.430',-0.065
'0:08.440',-0.070
'0:08.450',-0.115
'0:08.460',-0.095
'0:08.470',-0.175
'0:08.480',-0.145
'0:08.490',-0.535
'0:08.500',-0.740
'0:08.510',-0.660
'0:08.520',0.085
'0:08.530',2.405
'0:08.540',2.340
'0:08.550',1.415
'0:08.560',0.810
'0:08.570',0.010
'0:08.580',-0.130
'0:08.590',-0.170
'0:08.600',-0.175
'0:08.610',-0.220
'0:08.620',-0.160
'0:08.630',-0.145
'0:08.640',-0.185
'0:08.650',-0.170
'0:08.660',-0.175
'0:08.670',-0.210
'0:08.680',-0.195
'0:08.690',-0.220
'0:08.700',-0.125
'0:08.710',-0.190
'0:08.720',-0.195
'0:08.730',-0.185
'0:08.740',-0.220
'0:08.750',-0.190
'0:08.760',-0.165
'0:08.770',-0.200
'0:08.780',-0.110
'0:08.790',-0.095
'0:08.800',-0.050
'0:08.810',0.015
'0:08.820',0.045
'0:08.830',0.120
'0:08.840',0.190
'0:08.850',0.160
'0:08.860',0.095
'0:08.870',0.115
'0:08.880',0.075
'0:08.890',0.045
'0:08.900',0.030
'0:08.910',0.015
'0:08.920',0.020
'0:08.930',-0.030
'0:08.940',-0.025
'0:08.950',-0.005
'0:08.960',-0.100
'0:08.970',-0.065
'0:08.980',-0.055
'0:08.990',-0.090
'0:09.000',-0.120
'0:09.010',-0.100
'0:09.020',-0.090
'0:09.030',-0.175
'0:09.040',-0.125
'0:09.050',-0.110
'0:09.060',-0.115
'0:09.070',-0.100
'0:09.080',-0.115
'0:09.090',-0.025
'0:09.100',-0.050
'0:09.110',-0.125
'0:09.120',-0.135
'0:09.130',-0.095
'0:09.140',-0.005
'0:09.150',-0.095
'0:09.160',-0.115
'0:09.170',-0.100
'0:09.180',-0.045
'0:09.190',0.065
'0:09.200',-0.155
'0:09.210',-0.120
'0:09.220',-0.085
'0:09.230',-0.050
'0:09.240',0.005
'0:09.250',-0.105
'0:09.260',-0.075
'0:09.270',0.055
'0:09.280',0.185
'0:09.290',0.110
'0:09.300',0.195
'0:09.310',0.210
'0:09.320',0.155
'0:09.330',0.110
'0:09.340',0.000
'0:09.350',-0.025
'0:09.360',-0.095
'0:09.370',-0.110
'0:09.380',-0.080
'0:09.390',-0.165
'0:09.400',-0.130
'0:09.410',-0.440
'0:09.420',-0.710
'0:09.430',-0.725
'0:09.440',0.000
'0:09.450',2.250
'0:09.460',2.400
'0:09.470',1.410
'0:09.480',0.915
'0:09.490',0.055
'0:09.500',-0.125
'0:09.510',-0.175
'0:09.520',-0.135
'0:09.530',-0.135
'0:09.540',-0.195
'0:09.550',-0.220
'0:09.560',-0.145
'0:09.570',-0.095
'0:09.580',-0.180
'0:09.590',-0.195
'0:09.600',-0.135
'0:09.610',-0.150
'0:09.620',-0.185
'0:09.630',-0.180
'0:09.640',-0.140
'0:09.650',-0.150
'0:09.660',-0.200
'0:09.670',-0.230
'0:09.680',-0.155
'0:09.690',-0.065
'0:09.700',-0.135
'0:09.710',-0.135
'0:09.720',-0.030
'0:09.730',0.080
'0:09.740',0.050
'0:09.750',0.120
'0:09.760',0.160
'0:09.770',0.255
'0:09.780',0.155
'0:09.790',0.085
'0:09.800',0.125
'0:09.810',0.095
'0:09.820',0.030
'0:09.830',0.030
'0:09.840',0.095
'0:09.850',0.050
'0:09.860',-0.065
'0:09.870',-0.040
'0:09.880',0.010
'0:09.890',-0.075
'0:09.900',-0.025
'0:09.910',-0.100
'0:09.920',-0.060
'0:09.930',-0.130
'0:09.940',-0.115
'0:09.950',-0.040
'0:09.960',-0.075
'0:09.970',-0.080
'0:09.980',-0.105
'0:09.990',-0.080
